centre_id,pop_1994,pop_2004
072110505,5009.0,4917.0
072110507,5489.0,5437.0
072110509,7536.0,7603.0
072110511,8418.0,8605.0
072110513,6501.0,6627.0
072110515,6554.0,6557.0
072110517,6949.0,7369.0
072110519,5982.0,6650.0
072110521,5989.0,6432.0
072110523,7427.0,7148.0
072110525,8357.0,8215.0
072110527,6059.0,6044.0
072110529,7736.0,7360.0
072110531,4992.0,5102.0
072110533,6359.0,6183.0
072110535,4902.0,4301.0
072110537,3895.0,4335.0
0721105392,,4415.0
0721105393,,2675.0
072110541,5097.0,5234.0
072110543,4275.0,4552.0
072110545,5322.0,5135.0
072110547,7654.0,7870.0
072110549,5146.0,4769.0
072110551,4727.0,5218.0
073510101,25125.0,22111.0
073510103,38355.0,54111.0
073510105,148305.0,173101.0
073510107,192323.0,167233.0
073510109,148403.0,281663.0
073510111,116532.0,124935.0
073510301,17220.0,20925.0
073510303,13209.0,17007.0
0735103052,,10390.0
0735103053,,1365.0
073510307,7646.0,13686.0
073510309,16573.0,19188.0
073510311,15909.0,14747.0
073510501,9170.0,11079.0
073510503,11073.0,12164.0
0735105052,,18010.0
0735105053,,8989.0
073510507,24405.0,39071.0
0735105092,,1564.0
0735105093,,10067.0
073510511,15551.0,19295.0
073510513,18205.0,30137.0
081130101,20508.0,19482.0
081130105,3228.0,2983.0
081130107,7992.0,8969.0
081130109,77026.0,80012.0
081130125,2563.0,3338.0
081130129,16518.0,22904.0
081130301,12474.0,13809.0
081130307,7507.0,10304.0
081130309,14868.0,15493.0
0811303112,,11668.0
0811303113,,2312.0
081130503,21800.0,20560.0
081130505,12800.0,12539.0
081130513,6008.0,5195.0
081130515,5901.0,5400.0
081130517,3787.0,3150.0
0811305192,,16065.0
0811305193,,16145.0
082510101,19631.0,25947.0
082510103,14245.0,12577.0
082510301,1332.0,1144.0
0825103032,,6902.0
0825103033,,8029.0
0825103052,,7564.0
0825103053,,3254.0
082510307,8772.0,11231.0
082510309,6629.0,7488.0
